household_id,zone,head_gender,head_age,household_size,rooms,persons_per_room,electricity,water_improved,sanitation_improved,wall_quality,floor_quality,head_education_years,monthly_income_bob,food_expense_bob,health_expense_bob,education_expense_bob,agriculture_income_share,crop_diversity,livestock_count,housing_score,adequate_housing,vulnerability_index,survey_weight
SYN-H001,Zone D,Man,43,5,3,1.67,1,0,1,1,1,,,630.0,105.0,235.0,0.73,3,1,0.833,1,51.3,0.911
SYN-H002,Zone A,Woman,53,3,1,3.0,0,1,1,1,1,3.0,1720.0,570.0,65.0,60.0,0.432,2,1,0.833,1,51.3,1.288
SYN-H003,Zone B,Man,71,3,2,1.5,1,1,0,1,1,7.0,2830.0,1530.0,150.0,45.0,0.39,1,2,0.833,1,37.6,0.928
SYN-H004,Zone D,Woman,56,3,2,1.5,1,1,0,0,0,9.0,7480.0,3170.0,65.0,95.0,0.566,5,2,0.5,0,31.4,1.146
SYN-H005,Zone D,Man,57,5,3,1.67,0,1,0,1,0,10.0,7580.0,2730.0,140.0,240.0,0.626,4,1,0.5,0,28.7,1.315
SYN-H006,Zone D,Man,46,5,2,2.5,1,1,1,1,0,5.0,1170.0,560.0,235.0,105.0,0.57,2,1,0.833,1,47.0,1.044
SYN-H007,Zone C,Woman,57,5,3,1.67,1,1,1,1,1,5.0,4420.0,1890.0,180.0,165.0,0.434,5,3,1.0,1,27.2,1.112
SYN-H008,Zone B,Man,39,6,3,2.0,1,1,1,0,1,6.0,1640.0,790.0,,175.0,0.458,1,3,0.833,1,43.9,1.02
SYN-H009,Zone B,Man,45,5,2,2.5,1,0,1,0,1,6.0,1440.0,500.0,80.0,80.0,0.444,2,1,0.667,0,55.6,0.871
SYN-H010,Zone B,Man,46,3,1,3.0,0,1,0,1,0,7.0,1880.0,800.0,215.0,150.0,0.619,4,7,0.5,0,48.8,1.338
SYN-H011,Zone B,Man,35,3,2,1.5,0,0,0,0,0,3.0,1560.0,540.0,180.0,170.0,0.536,2,1,0.167,0,75.8,0.904
SYN-H012,Zone B,Man,56,7,2,3.5,1,0,1,1,0,5.0,,1040.0,225.0,200.0,0.799,3,3,0.5,0,55.5,1.266
SYN-H013,Zone C,Woman,48,4,2,2.0,1,0,1,0,1,7.0,2460.0,1270.0,45.0,145.0,0.352,1,0,0.667,0,42.2,0.935
SYN-H014,Zone A,Man,53,3,2,1.5,1,1,0,0,1,6.0,1620.0,730.0,75.0,100.0,0.226,1,0,0.667,0,55.2,0.836
SYN-H015,Zone B,Man,49,4,2,2.0,0,0,1,1,1,,2540.0,980.0,160.0,355.0,0.423,2,5,0.667,0,40.4,0.928
SYN-H016,Zone A,Man,43,6,2,3.0,1,1,1,0,1,9.0,2440.0,970.0,35.0,210.0,0.452,2,2,0.833,1,38.8,0.904
SYN-H017,Zone D,Woman,47,7,3,2.33,1,1,1,1,0,6.0,,760.0,30.0,185.0,0.23,0,6,0.833,1,38.7,1.25
SYN-H018,Zone A,Man,30,5,2,2.5,1,0,0,1,1,5.0,1660.0,730.0,305.0,155.0,0.601,1,1,0.667,0,57.2,1.017
SYN-H019,Zone B,Woman,50,4,2,2.0,0,0,0,0,1,6.0,2800.0,920.0,165.0,10.0,0.601,3,0,0.333,0,60.2,1.27
SYN-H020,Zone C,Woman,42,7,4,1.75,1,1,0,0,0,8.0,,900.0,45.0,385.0,0.389,2,1,0.5,0,54.7,0.778
SYN-H021,Zone D,Woman,40,5,2,2.5,1,1,0,0,1,8.0,2470.0,1390.0,35.0,35.0,0.931,3,5,0.667,0,43.0,0.795
SYN-H022,Zone B,Woman,51,4,1,4.0,1,1,0,1,1,6.0,1940.0,880.0,35.0,130.0,0.725,2,2,0.667,0,51.0,1.055
SYN-H023,Zone A,Man,65,5,2,2.5,0,1,1,1,0,8.0,3050.0,1750.0,200.0,340.0,0.223,5,0,0.667,0,41.1,1.148
SYN-H024,Zone B,Woman,35,3,1,3.0,1,1,1,0,1,5.0,,1400.0,30.0,120.0,0.717,2,10,0.833,1,38.4,1.071
SYN-H025,Zone B,Man,57,6,2,3.0,1,1,0,0,1,15.0,2320.0,1070.0,145.0,105.0,0.211,1,5,0.667,0,38.6,1.183
SYN-H026,Zone B,Man,44,6,2,3.0,1,0,1,0,1,,4730.0,1440.0,40.0,125.0,0.946,1,0,0.667,0,34.5,0.926
SYN-H027,Zone D,Man,48,2,1,2.0,1,0,1,1,0,11.0,2520.0,1220.0,60.0,25.0,0.595,1,2,0.667,0,32.7,1.197
SYN-H028,Zone A,Man,51,3,1,3.0,1,1,0,1,0,5.0,2960.0,1080.0,200.0,115.0,0.61,3,2,0.667,0,50.6,0.912
SYN-H029,Zone D,Woman,48,3,2,1.5,1,1,0,1,1,8.0,3210.0,1110.0,365.0,65.0,0.247,2,1,0.833,1,31.3,1.077
SYN-H030,Zone A,Woman,69,7,3,2.33,1,0,0,1,1,5.0,2320.0,1050.0,170.0,195.0,0.821,0,6,0.667,0,52.4,1.015
SYN-H031,Zone C,Man,25,6,2,3.0,1,1,0,0,1,7.0,1800.0,940.0,75.0,15.0,0.252,1,2,0.667,0,50.2,1.11
SYN-H032,Zone A,Man,31,5,2,2.5,0,0,1,1,1,5.0,2210.0,1210.0,275.0,20.0,0.841,2,1,0.667,0,54.7,1.253
SYN-H033,Zone A,Man,62,6,2,3.0,1,1,1,0,1,12.0,2150.0,1040.0,20.0,130.0,0.636,3,3,0.833,1,34.7,0.759
SYN-H034,Zone D,Woman,43,2,1,2.0,1,1,0,1,0,9.0,,1420.0,65.0,95.0,0.31,5,3,0.667,0,36.1,1.001
SYN-H035,Zone B,Man,45,2,1,2.0,0,1,1,1,1,5.0,2140.0,850.0,145.0,15.0,0.628,2,4,0.833,1,51.7,0.855
SYN-H036,Zone D,Woman,45,4,2,2.0,0,1,0,0,1,10.0,2140.0,700.0,135.0,15.0,0.745,0,5,0.5,0,47.2,1.229
SYN-H037,Zone D,Woman,65,6,2,3.0,1,0,1,1,1,8.0,,780.0,90.0,205.0,0.168,0,1,0.833,1,42.2,0.889
SYN-H038,Zone A,Woman,64,2,1,2.0,1,1,1,1,1,15.0,4000.0,1490.0,90.0,5.0,0.784,1,7,1.0,1,11.8,1.242
SYN-H039,Zone B,Man,49,4,2,2.0,1,1,1,1,1,11.0,1030.0,450.0,60.0,40.0,0.277,1,2,1.0,1,31.4,1.079
SYN-H040,Zone A,Man,67,7,2,3.5,1,0,0,0,1,4.0,1450.0,560.0,60.0,200.0,0.655,1,7,0.333,0,66.4,1.04
SYN-H041,Zone A,Man,55,3,1,3.0,1,1,1,1,1,6.0,950.0,290.0,185.0,205.0,0.257,0,7,1.0,1,38.9,0.91
SYN-H042,Zone B,Man,58,6,3,2.0,1,1,1,0,0,11.0,4180.0,2200.0,190.0,220.0,0.302,1,3,0.667,0,31.1,1.104
SYN-H043,Zone D,Man,65,3,1,3.0,1,0,1,1,0,8.0,1050.0,470.0,90.0,75.0,0.304,4,5,0.667,0,57.2,0.99
SYN-H044,Zone D,Man,60,5,2,2.5,1,1,1,0,1,6.0,4590.0,2560.0,45.0,50.0,0.517,1,4,0.833,1,30.7,1.094
SYN-H045,Zone B,Man,28,5,2,2.5,0,0,1,0,1,8.0,1800.0,910.0,135.0,15.0,0.149,1,0,0.5,0,54.8,1.152
SYN-H046,Zone C,Man,40,4,2,2.0,1,1,0,0,1,11.0,,920.0,185.0,105.0,0.545,0,0,0.667,0,46.7,0.778
SYN-H047,Zone D,Woman,33,2,1,2.0,1,0,0,1,1,10.0,1500.0,460.0,105.0,5.0,0.75,1,4,0.667,0,44.8,1.319
SYN-H048,Zone A,Man,48,2,1,2.0,1,1,0,0,1,5.0,1230.0,600.0,5.0,10.0,0.477,3,0,0.667,0,58.7,1.23
SYN-H049,Zone B,Woman,34,6,2,3.0,1,1,0,1,1,6.0,3270.0,1780.0,10.0,215.0,0.826,6,2,0.833,1,38.8,0.817
SYN-H050,Zone B,Woman,28,6,3,2.0,1,0,1,1,0,4.0,1880.0,800.0,285.0,35.0,0.712,2,4,0.667,0,60.1,0.838
SYN-H051,Zone C,Man,40,6,3,2.0,0,1,0,0,1,7.0,1990.0,640.0,,35.0,0.193,2,4,0.5,0,58.2,1.259
SYN-H052,Zone B,Man,46,4,2,2.0,1,1,0,1,1,10.0,3070.0,970.0,170.0,45.0,0.748,1,7,0.833,1,30.3,1.08
SYN-H053,Zone A,Man,38,7,2,3.5,1,1,0,0,1,14.0,11000.0,4820.0,205.0,300.0,0.317,4,17,0.5,0,22.0,0.788
SYN-H054,Zone A,Man,37,5,2,2.5,1,1,0,0,1,8.0,3650.0,1350.0,90.0,335.0,0.806,0,0,0.667,0,38.9,1.13
SYN-H055,Zone C,Woman,42,3,2,1.5,1,1,1,0,1,2.0,2000.0,640.0,85.0,310.0,0.493,3,3,0.833,1,56.6,1.286
SYN-H056,Zone A,Woman,49,3,1,3.0,1,0,0,0,1,4.0,1890.0,780.0,70.0,60.0,0.399,4,1,0.5,0,63.9,0.998
SYN-H057,Zone D,Woman,38,6,4,1.5,1,1,1,0,1,7.0,2920.0,1140.0,55.0,60.0,0.426,1,2,0.833,1,35.3,1.066
SYN-H058,Zone A,Man,39,6,3,2.0,1,1,0,1,0,9.0,,600.0,155.0,95.0,0.098,0,0,0.667,0,45.8,1.12
SYN-H059,Zone C,Man,46,4,2,2.0,1,1,0,1,1,13.0,2700.0,900.0,35.0,505.0,0.226,2,8,0.833,1,29.3,0.901
SYN-H060,Zone B,Man,29,4,2,2.0,1,1,1,1,1,0.0,900.0,470.0,115.0,10.0,0.627,3,2,1.0,1,52.6,1.313
