member_id,household_id,relationship,gender,age,literate,employed,personal_income_bob,household_income_reference_bob
SYN-P0001,SYN-H001,Head,Man,53,1.0,1,1090,1330.0
SYN-P0002,SYN-H001,Partner,Woman,69,1.0,1,1950,1330.0
SYN-P0003,SYN-H001,Child,Man,22,1.0,0,0,1330.0
SYN-P0004,SYN-H001,Child,Woman,52,1.0,0,0,1330.0
SYN-P0005,SYN-H001,Partner,Man,15,,1,1410,1330.0
SYN-P0006,SYN-H002,Head,Man,57,1.0,0,0,1720.0
SYN-P0007,SYN-H002,Child,Man,9,1.0,0,0,1720.0
SYN-P0008,SYN-H002,Child,Man,6,0.0,0,0,1720.0
SYN-P0009,SYN-H003,Head,Woman,46,1.0,1,460,2830.0
SYN-P0010,SYN-H003,Other relative,Woman,18,1.0,1,600,2830.0
SYN-P0011,SYN-H003,Other relative,Man,51,1.0,1,400,2830.0
SYN-P0012,SYN-H004,Head,Man,48,1.0,1,1560,7480.0
SYN-P0013,SYN-H004,Child,Woman,14,1.0,0,0,7480.0
SYN-P0014,SYN-H004,Child,Woman,52,1.0,0,0,7480.0
SYN-P0015,SYN-H005,Head,Woman,43,1.0,1,590,7580.0
SYN-P0016,SYN-H005,Child,Woman,76,1.0,0,0,7580.0
SYN-P0017,SYN-H005,Child,Woman,39,1.0,0,0,7580.0
SYN-P0018,SYN-H005,Child,Man,9,0.0,0,0,7580.0
SYN-P0019,SYN-H005,Other relative,Woman,33,,0,0,7580.0
SYN-P0020,SYN-H006,Head,Woman,40,1.0,1,1450,1170.0
SYN-P0021,SYN-H006,Child,Woman,34,1.0,0,0,1170.0
SYN-P0022,SYN-H006,Other relative,Man,18,0.0,0,0,1170.0
SYN-P0023,SYN-H006,Child,Man,18,0.0,1,1150,1170.0
SYN-P0024,SYN-H006,Child,Man,82,1.0,0,0,1170.0
SYN-P0025,SYN-H007,Head,Man,44,1.0,1,2140,4420.0
SYN-P0026,SYN-H007,Child,Woman,28,1.0,0,0,4420.0
SYN-P0027,SYN-H007,Child,Woman,51,1.0,0,0,4420.0
SYN-P0028,SYN-H007,Child,Woman,33,1.0,0,0,4420.0
SYN-P0029,SYN-H007,Child,Woman,23,1.0,0,0,4420.0
SYN-P0030,SYN-H008,Head,Man,25,1.0,1,1340,1640.0
SYN-P0031,SYN-H008,Child,Woman,16,0.0,0,0,1640.0
SYN-P0032,SYN-H008,Child,Woman,35,1.0,0,0,1640.0
SYN-P0033,SYN-H008,Partner,Woman,5,0.0,0,0,1640.0
SYN-P0034,SYN-H008,Other relative,Woman,30,1.0,0,0,1640.0
SYN-P0035,SYN-H008,Other relative,Woman,15,1.0,0,0,1640.0
SYN-P0036,SYN-H009,Head,Man,65,1.0,1,730,1440.0
SYN-P0037,SYN-H009,Child,Woman,31,1.0,1,630,1440.0
SYN-P0038,SYN-H009,Child,Man,30,1.0,0,0,1440.0
SYN-P0039,SYN-H009,Child,Man,56,1.0,1,470,1440.0
SYN-P0040,SYN-H009,Child,Man,34,1.0,1,430,1440.0
SYN-P0041,SYN-H010,Head,Man,58,1.0,1,890,1880.0
SYN-P0042,SYN-H010,Child,Woman,28,1.0,0,0,1880.0
SYN-P0043,SYN-H010,Child,Woman,6,0.0,0,0,1880.0
SYN-P0044,SYN-H011,Head,Man,28,1.0,0,0,1560.0
SYN-P0045,SYN-H011,Child,Man,8,1.0,0,0,1560.0
SYN-P0046,SYN-H011,Child,Man,14,1.0,0,0,1560.0
SYN-P0047,SYN-H012,Head,Woman,48,1.0,0,0,2570.0
SYN-P0048,SYN-H012,Child,Woman,14,1.0,0,0,2570.0
SYN-P0049,SYN-H012,Other relative,Man,7,0.0,0,0,2570.0
SYN-P0050,SYN-H012,Child,Man,26,1.0,1,1860,2570.0
SYN-P0051,SYN-H012,Child,Man,11,1.0,0,0,2570.0
SYN-P0052,SYN-H012,Child,Woman,28,1.0,0,0,2570.0
SYN-P0053,SYN-H012,Child,Woman,11,1.0,0,0,2570.0
SYN-P0054,SYN-H013,Head,Woman,42,1.0,1,1520,2460.0
SYN-P0055,SYN-H013,Child,Man,56,1.0,1,2150,2460.0
SYN-P0056,SYN-H013,Other relative,Woman,51,1.0,0,0,2460.0
